model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
wav2vec2-base,wav2vec2-base,Ningguo,,,,last_layer,0.26984943538268513,0.025134787621700853,0.25714052635218604,0.021966091938887388,0.26789367573317313,0.033174342932588086,0.3385354141656663,0.32118904522843805,214.60288348421454
wav2vec2-base,wav2vec2-base,Qingyang,,,,last_layer,0.38109442060085835,0.035986846823683805,0.3408943509864152,0.02924415548067323,0.38339546951361436,0.04417120472090018,0.43437832093517537,0.39224518125066915,202.3406330626458
wav2vec2-base,wav2vec2-base,Suncun,,,,last_layer,0.2947087776866284,0.04124832355615892,0.2716434950200319,0.032948014318880156,0.31185510632610625,0.05353472582633338,0.450199203187251,0.36975607071019967,204.39592720009387
wav2vec2-base,wav2vec2-base,Tongling,,,,last_layer,0.3482583810302534,0.04089210567839097,0.3244463636757314,0.03026862249458293,0.35462235431549777,0.052622090921352,0.4694201747418586,0.38813701677223844,204.69062863849103
wav2vec2-base,wav2vec2-base,Wuhu,,,,last_layer,0.3032092638544251,0.050105503390134136,0.2612640119475327,0.035478054961586646,0.32436290866114836,0.05748262529551189,0.46184738955823296,0.39345819475372523,214.67809039913118
wav2vec2-base,wav2vec2-base,Xuancheng,,,,last_layer,0.34167215815485996,0.04329582559902181,0.31590229989868723,0.032945392840152084,0.33889444727429335,0.052356796827761606,0.4704,0.4266575469153542,199.86177409254014
wavlm-base,wavlm-base,Chizhou,,,,last_layer,0.41349575489110374,0.04400996194276426,0.36751876019494895,0.028470221718856166,0.43223556516204076,0.049027781323878264,0.5038503850385039,0.4488552424731674,2491.659455904737
wavlm-base,wavlm-base,Dangtu,,,,last_layer,0.28663667820069205,0.05031109080254272,0.25718719069790735,0.03444454826474137,0.2920503149087213,0.06188963850854514,0.38345864661654133,0.3436511293138094,2526.0655127558857
wavlm-base,wavlm-base,Jingxian,,,,last_layer,0.2524329403724586,0.036652837656338276,0.24079850297606842,0.02924507927946999,0.25071704220414576,0.04677050036932803,0.3552385804041433,0.3270148432888823,2534.54877907224
wavlm-base,wavlm-base,Qingyang,,,,last_layer,0.37886534334763944,0.047401841269761484,0.3519035716681684,0.03468183741028604,0.37758541315401195,0.05655287661315021,0.45563230605738575,0.4158927103902543,2492.201197547838
wavlm-base,wavlm-base,Suncun,,,,last_layer,0.40901558654634956,0.06439163351426506,0.35610470372028424,0.04368488676092492,0.42204979046259533,0.07460159709985595,0.5258964143426295,0.47311498727418844,2483.306697631255
wavlm-base,wavlm-base,Tongling,,,,last_layer,0.38511038430089944,0.054443762557032906,0.3544295995136805,0.04314341892265079,0.386632059093677,0.06575183010402635,0.4892772041302621,0.41692182944584394,2486.7336478233337
wavlm-base,wavlm-base,Wuhu,,,,last_layer,0.3720430107526881,0.05774431862459816,0.324028950260295,0.03809910212279278,0.3845341576886824,0.06718971953028871,0.46907630522088356,0.4256077948220851,2521.6780902408063
wavlm-base,wavlm-base,Xuancheng,,,,last_layer,0.3461943986820428,0.05219476024081944,0.3261823449770784,0.038593561595779015,0.3438283717698382,0.06444369835351747,0.476,0.4490461959871179,2530.895843103528
