model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
mHuBERT-147,mHuBERT-147,Nanling,loro,4.0,100.0,last_layer,0.5022520523629909,0.05757190285233603,0.4641181540601453,0.04000796708440054,0.49543345634269065,0.07037601592116305,0.5846357032797711,0.5341505658731791,180.31644518487155
mHuBERT-147,mHuBERT-147,Ningguo,loro,4.0,100.0,last_layer,0.397038895859473,0.030589343470235057,0.3602292689016588,0.02712433527693528,0.38514357438235636,0.037100982104289894,0.4765906362545018,0.44656573175746406,180.59862803854048
mHuBERT-147,mHuBERT-147,Qingyang,loro,4.0,100.0,last_layer,0.5074222103004291,0.042439076273704086,0.46628360915989675,0.028051905146199145,0.50780746239216,0.04907115430978572,0.5260361317747078,0.5022013516609202,179.61611874774098
mHuBERT-147,mHuBERT-147,Suncun,loro,4.0,100.0,last_layer,0.5489007383100902,0.046017636159144275,0.5024669191129,0.03766603166336909,0.5637273769332942,0.05127501945906276,0.6143426294820717,0.5639491066194604,180.53772190958261
mHuBERT-147,mHuBERT-147,Tongling,loro,4.0,100.0,last_layer,0.47627964022894514,0.05810105835374022,0.4305664523006202,0.04379614182538977,0.47698889014854046,0.0716734394919576,0.5663224781572677,0.49791163111567527,180.167637784034
mHuBERT-147,mHuBERT-147,Wuhu,loro,4.0,100.0,last_layer,0.49512820512820516,0.055218621715732524,0.45528991993444684,0.03971437930933303,0.4989983120966501,0.061432410463449647,0.5686746987951807,0.5307348897822244,178.93526752479374
mHuBERT-147,mHuBERT-147,Xuancheng,loro,4.0,100.0,last_layer,0.48565074135090613,0.05100949784375402,0.4422876288136805,0.039604677666790676,0.47188428125337806,0.060344508462738804,0.5816,0.5331292357474839,184.98362383805215
wav2vec2-base,wav2vec2-base,Chizhou,,,,last_layer,0.3810483573274271,0.04449241145489509,0.3433644212439416,0.03129197725214221,0.4041561034217383,0.05481379696724593,0.4594792812614595,0.4096524909831579,203.03084890544415
wav2vec2-base,wav2vec2-base,Dangtu,,,,last_layer,0.3016332179930796,0.034809141720101994,0.25806139951409934,0.024610880535647122,0.3097697010377105,0.04251543904773471,0.43301435406698563,0.3121977060118143,211.23278943821788
wav2vec2-base,wav2vec2-base,Fanchang,,,,last_layer,0.33609593199757143,0.040389720259867375,0.30592297794744605,0.030421162207057,0.34576793187151905,0.047483331913971125,0.46524064171123,0.4228177963384059,208.53516475483775
