run_idx,split_seed,support_size,query_size,accuracy,macro_f1,weighted_f1
46,46456,36,9268,0.6860164005179111,0.6203704424475631,0.699047529353595
47,47465,36,9268,0.6709106603366423,0.5967821256210462,0.6853688741290218
48,48474,36,9268,0.6737160120845922,0.5923598267912586,0.6747770305944124
49,49483,36,9268,0.6679974104445403,0.5991532119416745,0.6697399805874786
50,50492,36,9268,0.638649115235218,0.5648803277725377,0.6296790316212256
51,51501,36,9268,0.6759818731117825,0.6152382449317225,0.6837781738026218
52,52510,36,9268,0.6933534743202417,0.629249314706527,0.6965909111649448
53,53519,36,9268,0.6759818731117825,0.6125195385646011,0.6861929026562301
54,54528,36,9268,0.7073802330599913,0.6385117693873077,0.7130481665462979
55,55537,36,9268,0.6525679758308157,0.579786122083227,0.6503048751421827
56,56546,36,9268,0.6915192058696591,0.6262555621060011,0.6995009956582151
57,57555,36,9268,0.6555891238670695,0.5916514426751642,0.6649516499554212
58,58564,36,9268,0.588260681916271,0.5404050047031963,0.6108780501181057
59,59573,36,9268,0.7042511868795857,0.6278774907050867,0.7077299165210885
60,60582,36,9268,0.7154725938713854,0.6411951173779222,0.7187267280097399
61,61591,36,9268,0.649331031506258,0.5935021382538319,0.6620592527103311
62,62600,36,9268,0.6977772982304704,0.6299279178021288,0.7050076152765407
63,63609,36,9268,0.6960509279240397,0.6289369357029235,0.7038948042568729
64,64618,36,9268,0.6850453172205438,0.6183422812664298,0.6998525165667101
65,65627,36,9268,0.6863400949503669,0.614052403561737,0.6918407225201324
66,66636,36,9268,0.71460940871817,0.6503204519951794,0.7195407316546792
67,67645,36,9268,0.6363832542080277,0.5708587976078817,0.6502404246877346
68,68654,36,9268,0.6928139835994821,0.6292005260729783,0.6971794260334582
69,69663,36,9268,0.6936771687526975,0.6269145739423695,0.6999555582616447
70,70672,36,9268,0.6214933103150626,0.564337171620858,0.62910774636292
71,71681,36,9268,0.7037116961588261,0.6397158331639268,0.7113878765739796
72,72690,36,9268,0.6443677168752697,0.576933748446921,0.652391798495605
73,73699,36,9268,0.6441519205869659,0.588110902163722,0.6617833505292099
74,74708,36,9268,0.6938929650410013,0.6176395068588827,0.6997266787682123
75,75717,36,9268,0.6559128182995253,0.5896046874960317,0.6629518278292708
76,76726,36,9268,0.7068407423392318,0.6376736622860775,0.7104958393099671
77,77735,36,9268,0.6676737160120846,0.6066471205868613,0.6808443283661334
78,78744,36,9268,0.6920586965904186,0.6260669024339413,0.6982052341871753
79,79753,36,9268,0.6905481225722918,0.6220705816304474,0.6949662443338236
80,80762,36,9268,0.6800820025895554,0.6144410582454429,0.6869160152964169
81,81771,36,9268,0.6624946050927925,0.599175419837047,0.6756402430454437
82,82780,36,9268,0.6764134656883901,0.6068963438154699,0.6874714247142895
83,83789,36,9268,0.6876348726801899,0.6137326600613385,0.6969490121660363
84,84798,36,9268,0.6864479930945188,0.6157535297427786,0.6916698637857664
85,85807,36,9268,0.6884980578334052,0.6131345953495244,0.6926761882655079
86,86816,36,9268,0.6664868364264135,0.5924312180568548,0.6744610681181832
87,87825,36,9268,0.6745791972378075,0.6130486161970075,0.683205497892685
88,88834,36,9268,0.7072723349158394,0.638398320768363,0.7140421472468714
89,89843,36,9268,0.6835347432024169,0.6177640841998147,0.6876424889367656
90,90852,36,9268,0.6754423823910228,0.6046386216543089,0.6864631284395547
91,91861,36,9268,0.669723780750971,0.6025710480819871,0.6780814725094355
92,92870,36,9268,0.7111566681053086,0.6387711499969116,0.7139117060715552
93,93879,36,9268,0.669723780750971,0.6004722966554571,0.6770530897527726
94,94888,36,9268,0.622140699179974,0.5624607709705132,0.6276527487563468
95,95897,36,9268,0.6809451877427708,0.6164276299682878,0.6843923817979016
96,96906,36,9268,0.7033880017263703,0.6358112589465232,0.7071824836024755
97,97915,36,9268,0.6628182995252482,0.6026254518542352,0.6715172310796906
98,98924,36,9268,0.6931376780319378,0.6232499322869802,0.7009946369198717
99,99933,36,9268,0.6859085023737592,0.6286713630500896,0.6913701913005615
